Date,USD_KES,Crude_Oil,Super_Petrol,Diesel,Kerosene,Month_num
Jan-2022,113.38,86.51,129.72,110.6,103.54,1
Feb-2022,113.66,97.13,129.72,110.6,103.54,2
Mar-2022,114.32,117.25,134.72,115.6,103.54,3
Apr-2022,115.4,104.58,144.62,125.5,113.44,4
May-2022,116.28,113.34,150.12,131.0,118.94,5
Jun-2022,117.29,122.71,159.12,140.0,127.94,6
Jul-2022,118.27,112.37,159.12,140.0,127.94,7
Aug-2022,119.54,100.45,159.12,140.0,127.94,8
Sep-2022,120.57,89.76,179.3,165.0,147.94,9
Oct-2022,121.1,93.33,178.3,163.0,146.94,10
Nov-2022,121.84,91.42,177.3,162.0,145.94,11
Dec-2022,123.35,80.9,177.3,162.0,145.94,12
