Effective_From,Effective_To,Town,Super_Petrol,Diesel,Kerosene,Source_URL,Retrieved_On
2024-11-15,2024-12-14,Nairobi,180.66,168.06,151.39,https://www.epra.go.ke/pump-prices,2026-07-22
2024-12-15,2025-01-14,Nairobi,176.29,165.06,148.39,https://www.epra.go.ke/pump-prices,2026-07-22
2025-01-15,2025-02-14,Nairobi,176.58,167.06,151.39,https://www.epra.go.ke/pump-prices,2026-07-22
2025-02-15,2025-03-14,Nairobi,176.58,167.06,151.39,https://www.epra.go.ke/pump-prices,2026-07-22
2025-03-15,2025-04-14,Nairobi,176.58,167.06,151.39,https://www.epra.go.ke/pump-prices,2026-07-22
2025-04-15,2025-05-14,Nairobi,174.63,164.86,148.99,https://www.epra.go.ke/pump-prices,2026-07-22
2025-05-15,2025-06-14,Nairobi,174.63,164.86,148.99,https://www.epra.go.ke/pump-prices,2026-07-22
2025-06-15,2025-07-14,Nairobi,177.32,162.91,146.93,https://www.epra.go.ke/pump-prices,2026-07-22
2025-07-15,2025-08-14,Nairobi,186.31,171.58,156.58,https://www.epra.go.ke/pump-prices,2026-07-22
2025-08-15,2025-09-14,Nairobi,185.31,171.58,155.58,https://www.epra.go.ke/pump-prices,2026-07-22
2025-09-15,2025-10-14,Nairobi,184.52,171.47,154.78,https://www.epra.go.ke/pump-prices,2026-07-22
2025-10-15,2025-11-14,Nairobi,184.52,171.47,154.78,https://www.epra.go.ke/pump-prices,2026-07-22
2025-11-15,2025-12-14,Nairobi,184.52,171.47,154.78,https://www.epra.go.ke/pump-prices,2026-07-22
2025-12-15,2026-01-14,Nairobi,184.52,171.47,154.78,https://www.epra.go.ke/pump-prices,2026-07-22
2026-01-15,2026-02-14,Nairobi,182.52,170.47,153.78,https://www.epra.go.ke/pump-prices,2026-07-22
2026-02-15,2026-03-14,Nairobi,178.28,166.54,152.78,https://www.epra.go.ke/pump-prices,2026-07-22
2026-03-15,2026-04-14,Nairobi,178.28,166.54,152.78,https://www.epra.go.ke/pump-prices,2026-07-22
2026-04-15,2026-05-14,Nairobi,206.97,206.84,152.78,https://www.epra.go.ke/pump-prices,2026-07-22
2026-04-16,2026-05-14,Nairobi,197.6,196.63,152.78,https://www.epra.go.ke/pump-prices,2026-07-22
2026-05-19,2026-06-14,Nairobi,214.25,232.86,191.38,https://www.epra.go.ke/pump-prices,2026-07-22
2026-06-15,2026-07-14,Nairobi,214.03,222.86,191.38,https://www.epra.go.ke/pump-prices,2026-07-22
