Cycle,Effective_From,Effective_To,Super_Petrol,Diesel,Kerosene,Source_ID
2022-01-01,2022-01-15,2022-02-14,129.72,110.60,103.54,EPRA_PUMP_DB
2022-02-01,2022-02-15,2022-03-14,129.72,110.60,103.54,EPRA_PUMP_DB
2022-03-01,2022-03-15,2022-04-14,134.72,115.60,103.54,EPRA_PUMP_DB
2022-04-01,2022-04-15,2022-05-14,144.62,125.50,113.44,EPRA_PUMP_DB
2022-05-01,2022-05-15,2022-06-14,150.12,131.00,118.94,EPRA_PUMP_DB
2022-06-01,2022-06-15,2022-07-14,159.12,140.00,127.94,EPRA_PUMP_DB
2022-07-01,2022-07-15,2022-08-14,159.12,140.00,127.94,EPRA_PUMP_DB
2022-08-01,2022-08-15,2022-09-14,159.12,140.00,127.94,EPRA_PUMP_DB
2022-09-01,2022-09-15,2022-10-14,179.30,165.00,147.94,EPRA_PUMP_DB
2022-10-01,2022-10-15,2022-11-14,178.30,163.00,146.94,EPRA_PUMP_DB
2022-11-01,2022-11-15,2022-12-14,177.30,162.00,145.94,EPRA_PUMP_DB
2022-12-01,2022-12-15,2023-01-14,177.30,162.00,145.94,EPRA_PUMP_DB
2023-01-01,2023-01-15,2023-02-14,177.30,162.00,145.94,EPRA_PUMP_DB
2023-02-01,2023-02-15,2023-03-14,177.30,162.00,145.94,EPRA_PUMP_DB
2023-03-01,2023-03-15,2023-04-14,179.30,162.00,145.94,EPRA_PUMP_DB
2023-04-01,2023-04-15,2023-05-14,179.30,162.00,145.94,EPRA_PUMP_DB
2023-05-01,2023-05-15,2023-06-14,182.70,168.40,161.13,EPRA_PUMP_DB
2023-06-01,2023-06-15,2023-07-14,182.04,167.28,161.48,EPRA_PUMP_DB
2023-07-01,2023-07-15,2023-08-14,195.53,179.82,162.47,EPRA_PUMP_DB
2023-08-01,2023-08-15,2023-09-14,194.68,179.67,169.48,EPRA_PUMP_DB
2023-09-01,2023-09-15,2023-10-14,211.64,200.99,202.61,EPRA_PUMP_DB
2023-10-01,2023-10-15,2023-11-14,217.36,205.47,205.06,EPRA_PUMP_DB
2023-11-01,2023-11-15,2023-12-14,217.36,205.47,205.06,EPRA_PUMP_DB
2023-12-01,2023-12-15,2024-01-14,212.36,201.47,199.06,EPRA_PUMP_DB
2024-01-01,2024-01-15,2024-02-14,207.36,196.47,194.23,EPRA_PUMP_DB
2024-02-01,2024-02-15,2024-03-14,193.84,186.21,186.42,EPRA_PUMP_DB
2024-03-01,2024-03-15,2024-04-14,199.15,190.38,188.74,EPRA_PUMP_DB
2024-04-01,2024-04-15,2024-05-14,194.15,180.38,170.06,EPRA_PUMP_DB
2024-05-01,2024-05-15,2024-06-14,193.84,180.38,170.06,EPRA_PUMP_DB
2024-06-01,2024-06-15,2024-07-14,189.84,173.10,163.05,EPRA_PUMP_DB
2024-07-01,2024-07-15,2024-08-14,188.84,171.60,161.75,EPRA_PUMP_DB
2024-08-01,2024-08-15,2024-09-14,188.84,171.60,161.75,EPRA_PUMP_DB
2024-09-01,2024-09-15,2024-10-14,188.84,171.60,158.32,EPRA_PUMP_DB
2024-10-01,2024-10-15,2024-11-14,180.66,168.06,151.39,EPRA_PUMP_DB
2024-11-01,2024-11-15,2024-12-14,180.66,168.06,151.39,EPRA_PUMP_DB
2024-12-01,2024-12-15,2025-01-14,176.29,165.06,148.39,EPRA_PUMP_DB
2025-01-01,2025-01-15,2025-02-14,176.58,167.06,151.39,EPRA_PUMP_DB
2025-02-01,2025-02-15,2025-03-14,176.58,167.06,151.39,EPRA_PUMP_DB
2025-03-01,2025-03-15,2025-04-14,176.58,167.06,151.39,EPRA_PUMP_DB
2025-04-01,2025-04-15,2025-05-14,174.63,164.86,148.99,EPRA_PUMP_DB
2025-05-01,2025-05-15,2025-06-14,174.63,164.86,148.99,EPRA_PUMP_DB
2025-06-01,2025-06-15,2025-07-14,177.32,162.91,146.93,EPRA_PUMP_DB
2025-07-01,2025-07-15,2025-08-14,186.31,171.58,156.58,EPRA_PUMP_DB
2025-08-01,2025-08-15,2025-09-14,185.31,171.58,155.58,EPRA_PUMP_DB
2025-09-01,2025-09-15,2025-10-14,184.52,171.47,154.78,EPRA_PUMP_DB
2025-10-01,2025-10-15,2025-11-14,184.52,171.47,154.78,EPRA_PUMP_DB
2025-11-01,2025-11-15,2025-12-14,184.52,171.47,154.78,EPRA_PUMP_DB
2025-12-01,2025-12-15,2026-01-14,184.52,171.47,154.78,EPRA_PUMP_DB
2026-01-01,2026-01-15,2026-02-14,182.52,170.47,153.78,EPRA_PUMP_DB
2026-02-01,2026-02-15,2026-03-14,178.28,166.54,152.78,EPRA_PUMP_DB
2026-03-01,2026-03-15,2026-04-14,178.28,166.54,152.78,EPRA_PUMP_DB
2026-04-01,2026-04-16,2026-05-14,197.60,196.63,152.78,EPRA_APR16_2026
2026-05-01,2026-05-19,2026-06-14,214.25,232.86,191.38,EPRA_MAY19_2026
2026-06-01,2026-06-15,2026-07-14,214.03,222.86,191.38,EPRA_JUN15_2026
2026-07-01,2026-07-15,2026-08-14,214.03,222.86,191.38,EPRA_JUL15_2026
